,score_sum
5502,7.0
3761,12.0
7733,4.0
9507,4.0
4238,0.0
8903,4.0
2221,96.0
9352,0.0
3960,0.0
10203,0.0
9914,95.0
9483,92.0
6304,4.0
4474,97.0
2404,0.0
9878,0.0
4129,0.0
4612,97.0
6880,24.0
4869,100.0
5286,0.0
137,0.0
4109,0.0
3449,8.0
6757,97.0
10344,99.0
5617,0.0
3740,98.0
9685,99.0
5764,29.0
9084,4.0
6054,4.0
3432,0.0
1993,4.0
7920,6.0
9298,95.0
8165,96.0
1066,6.0
10292,99.0
4000,95.0
8536,97.0
10216,0.0
5585,99.0
4613,4.0
3382,0.0
5847,20.0
2025,7.0
5756,10.0
1015,14.0
10691,0.0
3461,98.0
2417,99.0
5488,97.0
7072,94.0
9197,4.0
2717,97.0
5770,12.0
2177,6.0
7235,0.0
6510,0.0
8524,6.0
6622,97.0
10177,0.0
4231,98.0
1615,6.0
7932,8.0
6107,2.0
4145,0.0
1326,96.0
1252,0.0
3078,6.0
5556,2.0
295,98.0
1657,98.0
3930,0.0
6501,0.0
629,5.0
10435,0.0
3736,8.0
719,100.0
6590,0.0
577,2.0
5646,10.0
1378,6.0
1499,91.0
2734,8.0
3043,96.0
2802,89.0
9549,10.0
7536,0.0
4134,0.0
10168,0.0
8917,97.0
8466,90.0
10276,96.0
5639,93.0
4038,6.0
5886,96.0
6419,0.0
3813,16.0
9369,0.0
6794,6.0
9452,97.0
1329,0.0
6164,98.0
3243,0.0
3953,0.0
7247,0.0
1250,0.0
10033,95.0
378,0.0
412,4.0
737,91.0
729,0.0
10220,98.0
2000,96.0
6579,10.0
1590,98.0
2749,96.0
3182,6.0
3776,94.0
7654,8.0
7977,100.0
9101,96.0
971,0.0
8638,0.0
2586,0.0
9912,18.0
9444,97.0
3284,95.0
1159,98.0
4254,7.0
3899,0.0
6116,8.0
9156,8.0
4834,0.0
8723,0.0
933,14.0
8296,4.0
4719,10.0
9581,0.0
3125,4.0
2738,6.0
3706,94.0
2703,7.0
4500,94.0
1910,0.0
445,22.0
8313,0.0
5842,95.0
9512,97.0
2761,96.0
7489,0.0
2012,93.0
10278,94.0
5168,100.0
4687,0.0
5775,13.0
444,95.0
9945,8.0
8168,0.0
10898,5.0
2159,0.0
585,100.0
7655,4.0
3335,86.0
8018,0.0
2481,16.0
1045,4.0
7841,30.0
4140,0.0
4516,98.0
694,0.0
4034,96.0
8946,0.0
5232,0.0
9861,0.0
5407,95.0
51,4.0
9049,97.0
3683,97.0
1696,0.0
8001,4.0
7681,0.0
1683,0.0
980,0.0
3847,98.0
1790,0.0
8180,0.0
8228,100.0
5231,0.0
2472,16.0
4977,0.0
4981,0.0
4425,97.0
5417,99.0
8197,10.0
1742,98.0
5496,13.0
1182,95.0
4488,0.0
1333,6.0
10165,96.0
4258,97.0
7875,0.0
9364,0.0
9608,90.0
9361,0.0
2931,96.0
8511,6.0
5122,99.0
9834,2.0
2796,3.0
10437,0.0
2516,94.0
6210,4.0
3169,0.0
1122,10.0
2037,0.0
3202,6.0
9328,96.0
2600,0.0
8084,95.0
4643,0.0
593,14.0
7968,0.0
8494,10.0
5589,98.0
6239,100.0
54,90.0
3787,90.0
7133,96.0
10590,0.0
10855,6.0
9456,100.0
9449,5.0
10529,0.0
10487,4.0
1322,100.0
5757,11.0
479,87.0
3654,97.0
533,97.0
5120,9.0
9313,95.0
6585,5.0
803,10.0
3626,0.0
7477,4.0
9731,0.0
10489,6.0
4174,2.0
10446,2.0
8846,97.0
5235,0.0
7491,0.0
2572,99.0
8422,0.0
3274,92.0
2605,0.0
2218,8.0
2328,94.0
9901,4.0
9080,96.0
1314,92.0
861,94.0
7759,14.0
539,98.0
3913,97.0
1972,0.0
5243,6.0
10826,94.0
2733,0.0
9656,0.0
2488,97.0
5986,98.0
6873,97.0
1926,0.0
6541,12.0
7905,9.0
3942,0.0
1484,93.0
9541,92.0
4833,0.0
8059,0.0
10600,8.0
8593,98.0
4437,92.0
1140,97.0
5280,0.0
10365,96.0
963,0.0
1147,98.0
6106,6.0
5406,95.0
6608,97.0
8189,13.0
5091,0.0
4407,2.0
6805,99.0
1693,0.0
5809,99.0
1836,7.0
2165,0.0
687,0.0
8093,0.0
3027,0.0
6052,93.0
4548,98.0
2306,4.0
5867,6.0
8612,0.0
8245,93.0
8885,0.0
5313,100.0
6223,92.0
4901,97.0
9445,86.0
5949,4.0
783,0.0
5065,92.0
4400,4.0
5766,4.0
1737,95.0
409,0.0
502,0.0
4499,0.0
5951,6.0
9720,97.0
2065,8.0
7678,0.0
3473,2.0
8562,8.0
